year,quarter,total
2008,3,1
2008,4,1
2009,1,3
2009,2,3
2009,3,6
2009,4,3
2010,1,8
2010,2,6
2010,3,20
2010,4,13
2011,1,23
2011,2,32
2011,3,46
2011,4,25
2012,1,50
2012,2,44
2012,3,56
2012,4,37
2013,1,66
2013,2,68
2013,3,70
2013,4,81
2014,1,94
2014,2,2488
2014,3,5341
2014,4,7621
2015,1,10031
2015,2,12379
2015,3,15616
2015,4,14312
2016,1,15536
2016,2,14853
2016,3,16099
2016,4,15452
2017,1,15559
2017,2,14466
2017,3,14801
2017,4,13430
2018,1,13604
2018,2,12402
2018,3,9300
