year,quarter,total
2008,4,1
2009,1,1
2009,2,1
2009,3,1
2009,4,2
2010,4,3
2011,1,2
2011,2,1
2011,3,6
2011,4,6
2012,1,13
2012,2,118
2012,3,459
2012,4,940
2013,1,2240
2013,2,3653
2013,3,5643
2013,4,6691
2014,1,9741
2014,2,11164
2014,3,13140
2014,4,13169
2015,1,14982
2015,2,17640
2015,3,19216
2015,4,18734
2016,1,22429
2016,2,24208
2016,3,24605
2016,4,23611
2017,1,25428
2017,2,24696
2017,3,25039
2017,4,24406
2018,1,23339
2018,2,23488
2018,3,15767
