year,quarter,total
2008,3,68
2008,4,110
2009,1,156
2009,2,198
2009,3,364
2009,4,296
2010,1,444
2010,2,573
2010,3,582
2010,4,651
2011,1,892
2011,2,920
2011,3,1050
2011,4,1095
2012,1,1308
2012,2,1528
2012,3,1631
2012,4,1832
2013,1,2128
2013,2,2135
2013,3,2326
2013,4,2538
2014,1,3051
2014,2,2887
2014,3,2807
2014,4,2803
2015,1,3015
2015,2,3390
2015,3,3546
2015,4,3467
2016,1,3881
2016,2,3899
2016,3,3646
2016,4,3717
2017,1,4005
2017,2,4288
2017,3,4085
2017,4,4306
2018,1,4300
2018,2,4361
2018,3,3054
