2008,3,ANDROID,13,0.0709374658954491
2008,4,ANDROID,27,0.0675
2009,1,ANDROID,132,0.24189558174054865
2009,2,ANDROID,254,0.33286592317873853
2009,3,ANDROID,539,0.5432427256876203
2009,4,ANDROID,1104,0.9716513672648542
2010,1,ANDROID,3342,2.335331851913966
2010,2,ANDROID,5080,3.193381904588286
2010,3,ANDROID,8296,4.431576585720238
2010,4,ANDROID,10830,5.290281611020198
2011,1,ANDROID,16895,6.3210155528035825
2011,2,ANDROID,22008,7.349547666198025
2011,3,ANDROID,24225,7.700499062271528
2011,4,ANDROID,25048,7.8581714253445485
2012,1,ANDROID,30927,8.12173543106097
2012,2,ANDROID,32519,8.097985651282844
2012,3,ANDROID,34302,8.117702185262141
2012,4,ANDROID,34279,7.794490489671089
2013,1,ANDROID,38750,7.830608281651319
2013,2,ANDROID,38717,7.642624355251653
2013,3,ANDROID,41482,7.944369115743188
2013,4,ANDROID,39801,7.429704256665564
2014,1,ANDROID,47763,8.011251276838774
2014,2,ANDROID,42683,7.834531925125641
2014,3,ANDROID,41426,8.008134560476629
2014,4,ANDROID,38766,7.676511648630184
2015,1,ANDROID,40838,7.647579864381769
2015,2,ANDROID,43925,7.660887354870441
2015,3,ANDROID,43939,7.788683285502332
2015,4,ANDROID,41086,7.5214783001891075
2016,1,ANDROID,44331,7.624805428229892
2016,2,ANDROID,45480,7.8285836253847165
2016,3,ANDROID,41884,7.766939880577087
2016,4,ANDROID,36137,6.9213781849314415
2017,1,ANDROID,39641,7.029767583729088
2017,2,ANDROID,36798,6.639517742729964
2017,3,ANDROID,37801,6.825921926520352
2017,4,ANDROID,38028,6.719535209177074
2018,1,ANDROID,37094,6.517919270156105
2018,2,ANDROID,36574,6.36483556260942
2018,3,ANDROID,26236,6.5103352440507205
2008,4,ANGULAR,1,0.0025
2009,1,ANGULAR,1,0.0018325422859132474
2009,2,ANGULAR,1,0.0013104957605462146
2009,3,ANGULAR,1,0.0010078714762293511
2009,4,ANGULAR,2,0.0017602379841754605
2010,4,ANGULAR,3,0.0014654519698116895
2011,1,ANGULAR,2,0.000748270559668965
2011,2,ANGULAR,1,0.00033394891249536647
2011,3,ANGULAR,6,0.0019072443497886137
2011,4,ANGULAR,6,0.0018823470357740054
2012,1,ANGULAR,13,0.0034139283022534554
2012,2,ANGULAR,118,0.02938473836376812
2012,3,ANGULAR,459,0.10862414153796637
2012,4,ANGULAR,940,0.21374080516616073
2013,1,ANGULAR,2240,0.4526596787328762
2013,2,ANGULAR,3653,0.7210916850410487
2013,3,ANGULAR,5643,1.0807115115023096
2013,4,ANGULAR,6691,1.2490176423041959
2014,1,ANGULAR,9741,1.633850442553577
2014,2,ANGULAR,11164,2.0491697962210402
2014,3,ANGULAR,13140,2.540117030962751
2014,4,ANGULAR,13169,2.6077485915702137
2015,1,ANGULAR,14982,2.8056232315041787
2015,2,ANGULAR,17640,3.0765635273742644
2015,3,ANGULAR,19216,3.4062527143133168
2015,4,ANGULAR,18734,3.4295714957830583
2016,1,ANGULAR,22429,3.8577239617822343
2016,2,ANGULAR,24208,4.166982242816912
2016,3,ANGULAR,24605,4.562734117123465
2016,4,ANGULAR,23611,4.522253101375771
2017,1,ANGULAR,25428,4.5092941681355985
2017,2,ANGULAR,24696,4.455935925171455
2017,3,ANGULAR,25039,4.521421632182829
2017,4,ANGULAR,24406,4.312532247690535
2018,1,ANGULAR,23339,4.100979076027748
2018,2,ANGULAR,23488,4.087528235756823
2018,3,ANGULAR,15767,3.912504032358123
2008,3,C#,2155,11.759249154207136
2008,4,C#,5392,13.48
2009,1,C#,8196,15.019516575344976
2009,2,C#,10862,14.234604951052985
2009,3,C#,13338,13.442989749947088
2009,4,C#,14111,12.419359097349963
2010,1,C#,16480,11.515939233854624
2010,2,C#,18316,11.513776174102176
2010,3,C#,20509,10.955545346737749
2010,4,C#,21722,10.610849229416505
2011,1,C#,27178,10.168248635341568
2011,2,C#,30175,10.076908434547683
2011,3,C#,30112,9.571823643472456
2011,4,C#,29467,9.244520017192102
2012,1,C#,34256,8.995963686307258
2012,2,C#,35511,8.843063085048895
2012,3,C#,36879,8.72755929363543
2012,4,C#,37143,8.44571779392203
2013,1,C#,40959,8.277003473758873
2013,2,C#,41646,8.220800524286755
2013,3,C#,43152,8.26419690667157
2013,4,C#,44566,8.319192982652636
2014,1,C#,47902,8.03456563999604
2014,2,C#,42840,7.863349522582351
2014,3,C#,39388,7.6141651153394845
2014,4,C#,36261,7.180467133337953
2015,1,C#,37530,7.028103048882114
2015,2,C#,40738,7.105047901256961
2015,3,C#,40970,7.262394551697366
2015,4,C#,37940,6.945550472403611
2016,1,C#,39353,6.768603641179556
2016,2,C#,41017,7.060356520721303
2016,3,C#,36507,6.769832733746245
2016,4,C#,34351,6.579302709980904
2017,1,C#,36859,6.536419448769467
2017,2,C#,35055,6.325025666378578
2017,3,C#,33677,6.081229933584453
2017,4,C#,32343,5.714997561544497
2018,1,C#,31049,5.455730722463926
2018,2,C#,31568,5.493660224215403
2018,3,C#,22581,5.603364847762972
2008,3,C++,995,5.429444505074757
