year,quarter,total
2008,3,25
2008,4,32
2009,1,59
2009,2,125
2009,3,284
2009,4,317
2010,1,590
2010,2,732
2010,3,1082
2010,4,986
2011,1,1375
2011,2,1469
2011,3,1513
2011,4,1575
2012,1,2344
2012,2,2519
2012,3,2870
2012,4,3396
2013,1,3766
2013,2,3594
2013,3,4281
2013,4,4689
2014,1,5638
2014,2,4998
2014,3,5204
2014,4,4482
2015,1,5049
2015,2,5224
2015,3,5184
2015,4,4941
2016,1,5218
2016,2,5237
2016,3,5062
2016,4,5045
2017,1,5782
2017,2,5625
2017,3,5803
2017,4,6259
2018,1,6062
2018,2,6092
2018,3,4592
