tags,total
android,2258
angular,1177
c#,1700
c++,1676
html,258
ios,190
iphone,3
java,2672
javascript,2936
jquery,1014
php,2260
python,2763
sql,482
swift,368
windows,22
wordpress,370
xcode,73
